# timestamp	commit	deps	machine	target	label	n	median	p95	max	note
2026-09-10 14:35:56	977056a+	-	ADV-DEV-56627	yugioh	parse+check	5	3744.47	3828.89	3828.89	Listen-Element-Fehler deduplizieren (Nachbarfall zu getTupleTypeError2)
2026-09-10 14:45:03	9fb37a0+	-	ADV-DEV-56627	yugioh	parse+check	5	3942.61	4112.80	4112.80	redundante Missing-field-Elaboration entfernt
2026-09-10 14:59:54	9c22e50+	-	ADV-DEV-56627	yugioh	parse+check	5	10294.39	12595.79	12595.79	eine Diagnose statt zwei bei verschachtelten Dictionary-Literalen (findInnermostErrorPosition)
2026-09-10 15:03:38	9c22e50+	-	ADV-DEV-56627	yugioh	parse+check	5	4046.82	8313.71	8313.71	Ein-Diagnose-Architektur: Position rekursiv zum innersten Fehler statt Zwei-Diagnosen-Elaboration
2026-09-10 15:23:19	7db6623+	-	ADV-DEV-56627	yugioh	parse+check	5	3383.02	3579.17	3579.17	Feldname vor Erklaerung + Einrueckung pro Verschachtelungsebene (TS-Vorbild)
2026-09-10 15:37:09	16c5e89+	-	ADV-DEV-56627	yugioh	parse+check	5	3515.81	3868.01	3868.01	typeToString: Leerzeichen statt Tabs fuer mehrzeilige Typen (dieselbe Einheit wie indentLines)
2026-09-10 15:48:06	2277f04+	-	ADV-DEV-56627	yugioh	parse+check	5	3550.16	3859.70	3859.70	Echte Positionen je Tupel-/Listen-Element (findInnermostElementErrorPosition)
2026-09-10 16:01:55	733e44d+	-	ADV-DEV-56627	yugioh	parse+check	5	3601.40	3943.16	3943.16	Or([] List(X))-Spread korrekt als List statt Tuple erkannt (getSpreadElementTypes)
2026-09-10 16:08:43	a35c8ba+	-	ADV-DEV-56627	yugioh	parse+check	5	3512.89	3749.83	3749.83	Große Dictionary-Typen in Fehlermeldungen nach 5 Feldern gekürzt (maxFieldsInTypeDump)
2026-09-10 16:15:52	dca69d5+	-	ADV-DEV-56627	yugioh	parse+check	5	3629.24	3901.03	3901.03	Definition-Fehler mit großen Typ-Dumps werden klarer (mehrzeilige erste Zeile entfernt)
2026-09-10 16:22:14	dca69d5+	-	ADV-DEV-56627	yugioh	parse+check	5	4898.61	10933.74	10933.74	BASELINE vor Diff-Modus-Umbau (for comparison)
2026-09-10 16:45:12	dca69d5+	-	ADV-DEV-56627	yugioh	parse+check	5	4208.41	8115.76	8115.76	aliasName-Leck behoben: argumentsType zeigt nie mehr Wertnamen als Typ (suppressAlias durch gesamte typeToString-Rekursion)
2026-09-10 17:12:56	ea2a1f3+	-	ADV-DEV-56627	yugioh	parse+check	5	4697.28	7884.03	7884.03	Namen (Felder, Referenzen, Parameter) durchgaengig in Anfuehrungszeichen in Fehlermeldungen
2026-09-10 17:25:13	7ed9a84+	-	ADV-DEV-56627	yugioh	parse+check	5	3913.62	4211.42	4211.42	List-gegen-List Element-Fehler mit umschliessendem List(X)-zu-List(Y) umhuellt statt roh durchgereicht
2026-09-10 17:45:18	7ed9a84+	-	ADV-DEV-56627	yugioh	parse+check	5	3453.40	3736.40	3736.40	Or-Ziel: Best-Match statt Alle-Choices-Dump, voller Or-Zieltyp bleibt im Kopf sichtbar
2026-09-10 17:55:59	398e670+	-	ADV-DEV-56627	yugioh	parse+check	5	3652.58	3870.53	3870.53	Sauberer Umbau: Huellen-Entscheid faellt an der Quelle (Header-Text pruefen), keine Text-Heuristik/Dedent mehr im definition-Handler
2026-09-10 18:11:17	a1efc13+	-	ADV-DEV-56627	yugioh	parse+check	5	3543.16	3746.66	3746.66	filter Rueckgabetyp korrigiert: Or([] List(TypeOf(values)/ElementType)) statt TypeOf(values), analog zu slice
2026-09-11 08:37:52	67e9c86+	-	ADV-DEV-56627	yugioh	parse+check	5	6333.85	11038.00	11038.00	vor Praedikat-Narrowing Schritt 1
2026-09-11 09:11:59	837efef+	-	ADV-DEV-56627	yugioh	parse+check	5	9368.46	9753.38	9753.38	Praedikat-Narrowing Schritt 1: narrowsTo am Funktionstyp
2026-09-11 09:23:39	837efef+	-	ADV-DEV-56627	yugioh	parse+check	5	3601.33	3847.47	3847.47	Wiederholung ohne Codeaenderung: 9368 ms war Maschinenlast, Zaehler identisch
2026-09-11 09:42:05	9e714a1+	-	ADV-DEV-56627	yugioh	parse+check	5	3753.73	4283.52	4283.52	Praedikat-Narrowing Schritt 2: Gegenrichtung (excludedIfFalse)
2026-09-11 15:40:30	549a23b+	-	ADV-DEV-56627	yugioh	parse+check	5	3807.36	3986.54	3986.54	Bug #1: unreachable branch detection implemented
2026-09-11 17:04:23	d8bb361+	-	ADV-DEV-56627	yugioh	parse+check	5	3972.56	4183.83	4183.83	core-lib: lastElement Empty-Fix (alias-only bug)
2026-09-11 19:30:11	2a27a92+	-	ADV-DEV-56627	yugioh	parse+check	5	3607.67	3863.95	3863.95	lengthOf: ElementAt+length Komposition praezise fuer List
2026-09-11 23:25:44	e0beea7	-	ADV-DEV-56627	yugioh	parse+check	5	3655.47	3850.77	3850.77	vor LengthOf-Konstruktor (length hat noch case im Checker)
2026-09-11 23:29:37	e0beea7+	-	ADV-DEV-56627	yugioh	parse+check	5	3674.17	3869.81	3869.81	nach LengthOf-Konstruktor: length rein deklarativ, case length entfernt
2026-09-11 23:34:05	dfd708d+	-	ADV-DEV-56627	yugioh	parse+check	5	3638.65	3957.53	3957.53	nach lastElement rein deklarativ (ElementAt+length), getLastElementFromType entfernt
2026-09-11 23:55:53	8899bc6+	-	ADV-DEV-56627	yugioh	parse+check	5	3677.67	3873.12	3873.12	vor WithElementAt-Knoten (setElement-Deklaration schon praezisiert, case setElement noch da)
2026-09-12 00:01:20	8899bc6+	-	ADV-DEV-56627	yugioh	parse+check	5	3800.17	4103.37	4103.37	nach WithElementAt: setElement rein deklarativ, case setElement entfernt
2026-09-12 00:14:24	6b05802+	-	ADV-DEV-56627	yugioh	parse+check	5	3884.05	4121.23	4121.23	vor Range-Folgenschluessel (map und slice haben noch grobe Deklaration bzw. case)
2026-09-12 00:29:43	6b05802+	-	ADV-DEV-56627	yugioh	parse+check	5	3927.75	4169.28	4169.28	nach Range und TupleOf: map und slice rein deklarativ, case map entfernt - Ausnahmenliste leer
2026-09-12 01:02:44	49d047c+	-	ADV-DEV-56627	yugioh	parse+check	5	3696.56	3983.26	3983.26	Concat implementation
2026-09-12 01:20:50	49d047c+	-	ADV-DEV-56627	yugioh	parse+check	5	3679.63	3894.85	3894.85	Fix: generischer Rueckgabetyp bleibt erhalten wenn Platzhalter
2026-09-12 01:48:53	06da68e+	-	ADV-DEV-56627	yugioh	parse+check	5	3645.90	3917.57	3917.57	spread im rumpf deferred, greater-case + exhaustive switch in resolvePlaceholders
2026-09-12 13:24:06	68c1f99+	-	ADV-DEV-56627	yugioh	parse+check	5	3652.50	3955.72	3955.72	cross-file reference-index (rename/find-references), CLI-Pfad ohne referenceIndex unveraendert
